date,site,ET_mm,n_obs,qflag_mean
2023-12-28,Oran,0.26145,48,1672.9583333333333
2023-12-28,TzM,0.05285,48,1555.2291666666667
2023-12-29,Oran,0.1807,48,1510.875
2023-12-29,TzM,0.0459,48,1421.625
2023-12-30,Oran,0.34415,48,1894.25
2023-12-30,TzM,0.0771,48,1864.6875
2023-12-31,Oran,0.1345,48,1629.0
2023-12-31,TzM,0.0267,48,1569.7291666666667
2024-01-01,Oran,0.1785,48,1732.25
2024-01-01,TzM,0.0375,48,1687.5625
2024-01-02,Oran,0.2556,48,1614.0
2024-01-02,TzM,0.03915,48,1525.6041666666667
2024-01-03,Oran,0.21375,48,1747.0
2024-01-03,TzM,0.0374,48,1717.5
2024-01-04,Oran,0.14325,48,1540.5
2024-01-04,TzM,0.03165,48,1511.0
2024-01-05,Oran,0.30905,48,1673.2291666666667
2024-01-05,TzM,0.43325,48,1806.0
2024-01-06,Oran,0.48495,48,1938.625
2024-01-06,TzM,0.47825,48,1983.0
2024-01-07,Oran,0.54155,48,1938.75
2024-01-07,TzM,0.40535,48,1865.0416666666667
2024-01-08,Oran,0.5602,48,1776.0208333333333
2024-01-08,TzM,0.36595,48,1776.0
2024-01-09,Oran,0.53595,48,1555.2916666666667
2024-01-09,TzM,0.39365,48,1614.4583333333333
2024-01-10,Oran,0.2657,48,1643.6666666666667
2024-01-10,TzM,0.23585,48,1525.9166666666667
2024-01-11,Oran,0.54255,48,1554.6666666666667
2024-01-11,TzM,0.4765,48,1805.8541666666667
2024-01-12,Oran,0.3381,48,1555.0833333333333
2024-01-12,TzM,0.37785,48,1761.6666666666667
2024-01-13,Oran,0.8313,48,1554.8125
2024-01-13,TzM,0.43025,48,1658.2083333333333
2024-01-14,Oran,1.0547,48,1614.25
2024-01-14,TzM,0.69945,48,1628.8125
2024-01-15,Oran,0.31235,48,1673.25
2024-01-15,TzM,0.2231,48,1717.5
2024-01-16,Oran,0.81265,48,1584.75
2024-01-16,TzM,0.8909,48,1570.0
2024-01-17,Oran,0.6224000000000001,48,1761.75
2024-01-17,TzM,0.6977000000000001,48,1629.0
2024-01-18,Oran,0.4681,48,1717.5
2024-01-18,TzM,0.46235,48,1688.0
2024-01-19,Oran,0.23335,48,1570.0
2024-01-19,TzM,0.18775,48,1614.25
2024-01-20,Oran,0.3038,48,1628.9583333333333
2024-01-20,TzM,0.37655,48,1673.3333333333333
2024-01-21,Oran,0.59595,48,1731.875
2024-01-21,TzM,0.6052000000000001,48,1687.4791666666667
2024-01-22,Oran,1.1155,48,1983.0
2024-01-22,TzM,0.68805,48,1953.5833333333333
2024-01-23,Oran,1.05385,48,1894.5
2024-01-23,TzM,0.7159000000000001,48,1879.75
2024-01-24,Oran,1.37695,48,1983.0
2024-01-24,TzM,0.69515,48,1983.0
2024-01-25,Oran,1.6647500000000002,48,1894.5
2024-01-25,TzM,0.924,48,1850.1666666666667
2024-01-26,Oran,1.54715,48,1570.0
2024-01-26,TzM,0.95175,48,1495.875
2024-01-27,Oran,1.2197,48,1702.75
2024-01-27,TzM,1.04425,48,1525.25
2024-01-28,Oran,1.0747,48,1865.0
2024-01-28,TzM,0.8846,48,1820.4583333333333
2024-01-29,Oran,0.4503,48,1613.9583333333333
2024-01-29,TzM,0.4485,48,1525.125
2024-01-30,Oran,0.5218,48,1628.4166666666667
2024-01-30,TzM,0.39605,48,1702.2916666666667
2024-01-31,Oran,0.5304,48,1702.2916666666667
2024-01-31,TzM,0.4363,48,1702.3125
2024-02-01,Oran,0.9677,48,1968.25
2024-02-01,TzM,0.6869000000000001,48,1924.0833333333333
2024-02-02,Oran,0.88065,48,1835.1666666666667
2024-02-02,TzM,0.57675,48,1835.0833333333333
2024-02-03,Oran,0.77585,48,1790.9791666666667
2024-02-03,TzM,0.56875,48,1983.0
2024-02-04,Oran,1.08965,48,1983.0
2024-02-04,TzM,0.65635,48,1968.2916666666667
2024-02-05,Oran,1.05525,47,1787.1702127659576
2024-02-05,TzM,0.6452,47,1727.063829787234
2024-02-06,Oran,0.6853,48,1717.5
2024-02-06,TzM,0.4232,48,1657.875
2024-02-07,Oran,0.51835,48,1894.5
2024-02-07,TzM,0.2788,48,1805.9166666666667
2024-02-08,Oran,0.60775,48,1570.0
2024-02-08,TzM,0.4019,48,1555.25
2024-02-09,Oran,0.17855,48,1511.0
2024-02-09,TzM,0.16965,48,1555.25
2024-02-10,Oran,0.54715,48,1791.125
2024-02-10,TzM,0.6458,48,1879.6666666666667
2024-02-11,Oran,0.4357,48,1776.7708333333333
2024-02-11,TzM,0.3964,48,1717.75
2024-02-12,Oran,0.96095,48,1820.75
2024-02-12,TzM,0.753,48,1761.75
2024-02-13,Oran,1.18145,48,1968.25
2024-02-13,TzM,0.96235,48,1865.0
2024-02-14,Oran,0.83645,48,1732.25
2024-02-14,TzM,0.8702000000000001,48,1791.25
2024-02-15,Oran,0.7588,48,1525.75
2024-02-15,TzM,0.8045,48,1540.5
2024-02-16,Oran,0.7269,48,1791.25
2024-02-16,TzM,0.90995,48,1835.5
2024-02-17,Oran,1.1950500000000002,48,1983.0
2024-02-17,TzM,1.23185,48,1983.0
2024-02-18,Oran,1.40815,48,1820.625
2024-02-18,TzM,1.22885,48,1791.2083333333333
2024-02-19,Oran,1.30035,48,1983.0
2024-02-19,TzM,1.19585,48,1938.75
2024-02-20,Oran,1.57785,47,1847.4255319148936
2024-02-20,TzM,1.2979,47,1847.4255319148936
2024-02-21,Oran,1.39975,48,1702.75
2024-02-21,TzM,1.1387,48,1702.6458333333333
2024-02-22,Oran,0.8791,48,1658.5
2024-02-22,TzM,0.92485,48,1673.25
2024-02-23,Oran,0.48855,48,1776.375
2024-02-23,TzM,0.49515,48,1850.0416666666667
2024-02-24,Oran,0.44055,48,1747.2083333333333
2024-02-24,TzM,0.3647,48,1732.2708333333333
2024-02-25,Oran,0.30515,48,1658.5416666666667
2024-02-25,TzM,0.26505,48,1688.0
2024-02-26,Oran,0.4342,48,1732.0833333333333
2024-02-26,TzM,0.48735,48,1673.0416666666667
2024-02-27,Oran,0.6523,48,1599.1875
2024-02-27,TzM,0.7217,48,1584.2916666666667
2024-02-28,Oran,1.18635,48,1983.0
2024-02-28,TzM,1.1203,48,1983.0
2024-02-29,Oran,1.2549,48,1924.0
2024-02-29,TzM,0.9931,48,1983.0
2024-03-01,Oran,1.3020500000000002,48,1983.0
2024-03-01,TzM,0.91075,48,1983.0
2024-03-02,Oran,0.60595,48,1791.0416666666667
2024-03-02,TzM,0.426,48,1687.7291666666667
2024-03-03,Oran,0.95165,48,1864.8333333333333
2024-03-03,TzM,0.83725,48,1806.1458333333333
2024-03-04,Oran,0.57085,48,1968.2083333333333
2024-03-04,TzM,0.7292500000000001,48,1894.5
2024-03-05,Oran,1.6908500000000002,48,1983.0
2024-03-05,TzM,1.21455,48,1924.0416666666667
2024-03-06,Oran,1.93075,48,1805.9166666666667
2024-03-06,TzM,1.4696,48,1850.25
2024-03-07,Oran,1.07155,48,1643.2916666666667
2024-03-07,TzM,1.04585,48,1687.7083333333333
2024-03-08,Oran,1.0785,48,1776.4791666666667
2024-03-08,TzM,0.8388500000000001,48,1658.5416666666667
2024-03-09,Oran,0.3219,48,1496.4166666666667
2024-03-09,TzM,0.33635,48,1510.9375
2024-03-10,Oran,1.1257,48,1835.3541666666667
2024-03-10,TzM,0.9743,48,1776.3333333333333
2024-03-11,Oran,1.2634,48,1938.6666666666667
2024-03-11,TzM,1.3783,48,1879.5833333333333
2024-03-12,Oran,2.0204500000000003,48,1938.7083333333333
2024-03-12,TzM,1.94635,48,1938.6458333333333
2024-03-13,Oran,2.2394000000000003,48,1850.125
2024-03-13,TzM,1.9939,48,1864.8541666666667
2024-03-14,Oran,2.3919,48,1909.25
2024-03-14,TzM,1.8384,48,1953.5
2024-03-15,Oran,2.1885,48,1938.75
2024-03-15,TzM,1.67925,48,1924.0
2024-03-16,Oran,2.3656,48,1806.0
2024-03-16,TzM,1.9115,48,1835.5
2024-03-17,Oran,2.7071,48,1688.0
2024-03-17,TzM,2.1842,48,1629.0
2024-03-18,Oran,2.6603,48,1584.75
2024-03-18,TzM,1.7647000000000002,48,1629.0
2024-03-19,Oran,2.0161,48,1629.0
2024-03-19,TzM,1.8717,48,1643.75
2024-03-20,Oran,1.64745,48,1525.75
2024-03-20,TzM,1.4853,48,1555.25
2024-03-21,Oran,1.1444,48,1584.75
2024-03-21,TzM,1.1071,48,1584.75
2024-03-22,Oran,2.42635,48,1747.0
2024-03-22,TzM,2.1012,48,1732.25
2024-03-23,Oran,1.60405,48,1584.75
2024-03-23,TzM,1.5464,48,1629.0
2024-03-24,Oran,0.82965,48,1570.0
2024-03-24,TzM,0.9285,48,1584.75
2024-03-25,Oran,0.4572,48,1584.75
2024-03-25,TzM,0.32685,48,1481.5
2024-03-26,Oran,0.7931,48,1510.8958333333333
2024-03-26,TzM,0.9281,48,1525.625
2024-03-27,Oran,1.1522,48,1791.2291666666667
2024-03-27,TzM,1.2006,48,1791.0208333333333
2024-03-28,Oran,1.07355,48,1614.25
2024-03-28,TzM,0.7582,48,1614.25
2024-03-29,Oran,1.5185,48,1702.6875
2024-03-29,TzM,1.1328,48,1688.0
2024-03-30,Oran,1.41735,48,1687.6458333333333
2024-03-30,TzM,1.30365,48,1599.3541666666667
2024-03-31,Oran,0.59975,48,1643.5
2024-03-31,TzM,0.59835,48,1746.875
2024-04-01,Oran,2.0231,48,1835.5
2024-04-01,TzM,2.1557500000000003,48,1894.4583333333333
2024-04-02,Oran,2.51715,48,1938.75
2024-04-02,TzM,2.8272,48,1806.0
2024-04-03,Oran,2.85665,48,1909.25
2024-04-03,TzM,2.96145,48,1923.9583333333333
2024-04-04,Oran,3.47915,48,1746.9583333333333
2024-04-04,TzM,3.23585,48,1687.75
2024-04-05,Oran,3.98555,48,1791.25
2024-04-05,TzM,3.74745,48,1761.75
2024-04-06,Oran,2.98395,48,1629.0
2024-04-06,TzM,2.9501500000000003,48,1570.0
2024-04-07,Oran,2.66815,48,1629.0
2024-04-07,TzM,2.6122,48,1614.25
2024-04-08,Oran,2.83665,48,1776.5
2024-04-08,TzM,3.01945,48,1717.5
2024-04-09,Oran,2.6686,47,1952.872340425532
2024-04-09,TzM,2.55525,47,1983.0
2024-04-10,Oran,3.21525,48,1983.0
2024-04-10,TzM,2.9088000000000003,48,1938.75
2024-04-11,Oran,2.9171,48,1983.0
2024-04-11,TzM,2.81535,48,1924.0
2024-04-12,Oran,2.95445,48,1983.0
2024-04-12,TzM,2.8807500000000004,48,1983.0
2024-04-13,Oran,3.1014,48,1983.0
2024-04-13,TzM,2.8855500000000003,48,1983.0
2024-04-14,Oran,2.8417000000000003,48,1983.0
2024-04-14,TzM,2.8383000000000003,48,1968.25
2024-04-15,Oran,2.4344,48,1879.75
2024-04-15,TzM,2.03065,48,1835.5
2024-04-16,Oran,2.6981,48,1983.0
2024-04-16,TzM,2.608,48,1983.0
2024-04-17,Oran,2.4727,48,1894.5
2024-04-17,TzM,2.2866,48,1983.0
2024-04-18,Oran,2.4419,48,1702.75
2024-04-18,TzM,2.35,48,1791.25
2024-04-19,Oran,0.8851,48,1791.25
2024-04-19,TzM,1.2382000000000002,48,1761.75
2024-04-20,Oran,2.07765,48,1909.2083333333333
2024-04-20,TzM,2.06125,48,1938.6666666666667
2024-04-21,Oran,1.818,48,1983.0
2024-04-21,TzM,1.8011,48,1983.0
2024-04-22,Oran,1.8403,48,1968.25
2024-04-22,TzM,1.67855,48,1968.25
2024-04-23,Oran,1.5092,48,1923.875
2024-04-23,TzM,1.42055,48,1938.75
2024-04-24,Oran,1.6227,48,1894.5
2024-04-24,TzM,1.31735,48,1924.0
2024-04-25,Oran,1.35265,48,1820.75
2024-04-25,TzM,0.9407,48,1806.0
2024-04-26,Oran,1.22795,48,1747.0
2024-04-26,TzM,0.96355,48,1658.375
2024-04-27,Oran,0.4821,48,1658.5
2024-04-27,TzM,0.4444,48,1688.0
2024-04-28,Oran,1.1654,48,1628.9166666666667
2024-04-28,TzM,0.93005,48,1732.2083333333333
2024-04-29,Oran,0.46915,48,1555.25
2024-04-29,TzM,0.32335,48,1555.25
2024-04-30,Oran,1.90785,48,1688.0
2024-04-30,TzM,2.5547,48,1643.75
2024-05-01,Oran,1.73995,48,1776.5
2024-05-01,TzM,2.47485,48,1924.0
2024-05-02,Oran,2.8775,48,1938.75
2024-05-02,TzM,3.1444,48,1953.4583333333333
2024-05-03,Oran,3.44735,48,1805.9166666666667
2024-05-03,TzM,3.27985,48,1805.9583333333333
2024-05-04,Oran,3.9151,48,1879.75
2024-05-04,TzM,3.78785,48,1850.25
2024-05-05,Oran,2.93845,48,1747.0
2024-05-05,TzM,2.773,48,1835.5
2024-05-06,Oran,1.8976,48,1717.5
2024-05-06,TzM,2.40695,48,1820.75
2024-05-07,Oran,3.0909,48,1865.0
2024-05-07,TzM,3.10325,48,1806.0
2024-05-08,Oran,2.8729,48,1894.5
2024-05-08,TzM,2.9716500000000003,48,1835.5
2024-05-09,Oran,2.3924000000000003,48,1820.75
2024-05-09,TzM,2.7028000000000003,48,1806.0
2024-05-10,Oran,2.4785500000000003,48,1732.25
2024-05-10,TzM,2.70955,48,1820.75
2024-05-11,Oran,2.10975,48,1747.0
2024-05-11,TzM,1.9994,48,1688.0
2024-05-12,Oran,2.49295,48,1791.25
2024-05-12,TzM,2.3281,48,1791.25
2024-05-13,Oran,2.0001,48,1791.25
2024-05-13,TzM,1.8987,48,1717.5
2024-05-14,Oran,1.6444,48,1865.0
2024-05-14,TzM,1.33175,48,1806.0
2024-05-15,Oran,1.6356000000000002,48,1924.0
2024-05-15,TzM,1.3987500000000002,48,1894.5
2024-05-16,Oran,1.47595,48,1924.0
2024-05-16,TzM,1.2087,48,1938.75
2024-05-17,Oran,1.50455,48,1909.25
2024-05-17,TzM,1.04285,48,1879.75
2024-05-18,Oran,1.9134,48,1820.75
2024-05-18,TzM,1.4814,48,1879.75
2024-05-19,Oran,1.3046,48,1747.0
2024-05-19,TzM,1.3121,48,1909.25
2024-05-20,Oran,1.32705,48,1894.5
2024-05-20,TzM,0.86965,48,1924.0
2024-05-21,Oran,1.27025,48,1953.5
2024-05-21,TzM,0.8320000000000001,48,1983.0
2024-05-22,Oran,1.61675,48,1938.75
2024-05-22,TzM,1.0583,48,1865.0
2024-05-23,Oran,1.2732,48,1702.75
2024-05-23,TzM,1.127,48,1717.5
2024-05-24,Oran,1.6156,48,1909.25
2024-05-24,TzM,1.3332,48,1968.25
2024-05-25,Oran,1.73555,48,1968.25
2024-05-25,TzM,1.36025,48,1968.25
2024-05-26,Oran,1.41515,48,1835.5
2024-05-26,TzM,1.22555,48,1879.75
2024-05-27,Oran,1.42965,47,1862.489361702128
2024-05-27,TzM,1.20995,47,1907.6808510638296
2024-05-28,Oran,1.07565,48,1835.5
2024-05-28,TzM,0.7717,48,1938.75
2024-05-29,Oran,1.5062,48,1983.0
2024-05-29,TzM,1.06995,48,1983.0
2024-05-30,Oran,1.46575,48,1865.0
2024-05-30,TzM,1.088,48,1968.25
2024-05-31,Oran,0.8831500000000001,48,1865.0
2024-05-31,TzM,0.72935,48,1850.25
2024-06-01,Oran,0.6577000000000001,48,1820.75
2024-06-01,TzM,0.3961,48,1850.25
2024-06-02,Oran,0.69755,48,1953.5
2024-06-02,TzM,0.7804500000000001,48,1953.5
2024-06-03,Oran,0.59125,48,1761.75
2024-06-03,TzM,0.6555,48,1717.5
2024-06-04,Oran,0.96085,48,1850.25
2024-06-04,TzM,1.05725,48,1938.75
2024-06-05,Oran,1.1585,48,1865.0
2024-06-05,TzM,1.0256,48,1850.25
2024-06-06,Oran,0.73715,48,1806.0
2024-06-06,TzM,0.7857500000000001,48,1776.5
2024-06-07,Oran,0.67055,48,1776.5
2024-06-07,TzM,0.6095,48,1791.25
2024-06-08,Oran,0.57035,48,1688.0
2024-06-08,TzM,0.452,48,1688.0
2024-06-09,Oran,2.7903,48,1791.25
2024-06-09,TzM,2.54875,48,1688.0
2024-06-10,Oran,2.18045,48,1732.25
2024-06-10,TzM,1.7794,48,1702.75
2024-06-11,Oran,2.3672500000000003,48,1776.5
2024-06-11,TzM,2.72025,48,1688.0
2024-06-12,Oran,1.35415,47,1681.723404255319
2024-06-12,TzM,1.5018,47,1726.914893617021
2024-06-13,Oran,3.84285,48,1924.0
2024-06-13,TzM,4.1947,48,1938.75
2024-06-14,Oran,4.7695,48,1850.25
2024-06-14,TzM,4.7676,48,1894.5
2024-06-15,Oran,4.2656,48,1776.5
2024-06-15,TzM,4.12075,48,1835.5
2024-06-16,Oran,3.7816,48,1983.0
2024-06-16,TzM,3.3272500000000003,48,1983.0
2024-06-17,Oran,3.0577,48,1983.0
2024-06-17,TzM,3.0089,48,1983.0
2024-06-18,Oran,2.6677,48,1968.25
2024-06-18,TzM,2.40095,48,1983.0
2024-06-19,Oran,2.2491,48,1761.75
2024-06-19,TzM,2.0754,48,1806.0
2024-06-20,Oran,1.50985,48,1894.5
2024-06-20,TzM,1.0282,48,1894.5
2024-06-21,Oran,1.95895,48,1983.0
2024-06-21,TzM,1.48805,48,1983.0
2024-06-22,Oran,2.0724,48,1791.25
2024-06-22,TzM,1.5314,48,1806.0
2024-06-23,Oran,1.69755,48,1791.25
2024-06-23,TzM,1.35985,48,1835.5
2024-06-24,Oran,1.333,48,1983.0
2024-06-24,TzM,1.1328,48,1983.0
2024-06-25,Oran,1.3837000000000002,48,1879.75
2024-06-25,TzM,1.0513,48,1938.75
2024-06-26,Oran,0.94755,48,1835.5
2024-06-26,TzM,0.6533,48,1820.75
2024-06-27,Oran,1.07845,46,1736.7391304347825
2024-06-27,TzM,0.4613,46,1752.1304347826087
2024-06-28,Oran,0.52585,48,1702.75
2024-06-28,TzM,0.33985,48,1747.0
2024-06-29,Oran,0.79195,48,1938.75
2024-06-29,TzM,0.29015,48,1835.5
2024-06-30,Oran,3.2462,48,1806.0
2024-06-30,TzM,1.98625,48,1820.75
2024-07-01,Oran,3.07795,48,1894.5
2024-07-01,TzM,1.2324,48,1850.25
2024-07-02,Oran,3.15545,48,1983.0
2024-07-02,TzM,1.7141000000000002,48,1983.0
2024-07-03,Oran,3.0047,48,1983.0
2024-07-03,TzM,1.34895,48,1983.0
2024-07-04,Oran,2.4135500000000003,48,1983.0
2024-07-04,TzM,0.883,48,1983.0
2024-07-05,Oran,1.8125,48,1983.0
2024-07-05,TzM,0.4647,48,1983.0
2024-07-06,Oran,1.71545,48,1894.5
2024-07-06,TzM,0.2267,48,1924.0
2024-07-07,Oran,0.8399500000000001,48,1820.75
2024-07-07,TzM,0.22175,48,1983.0
2024-07-08,Oran,1.266,48,1879.75
2024-07-08,TzM,0.23045,48,1968.25
2024-07-09,Oran,1.4905000000000002,48,1968.25
2024-07-09,TzM,0.28025,48,1953.5
2024-07-10,Oran,1.5389000000000002,48,1983.0
2024-07-10,TzM,0.28575,48,1983.0
2024-07-11,Oran,1.38795,48,1983.0
2024-07-11,TzM,0.29475,48,1983.0
2024-07-12,Oran,1.0782500000000002,48,1968.25
2024-07-12,TzM,0.2367,48,1983.0
2024-07-13,Oran,0.7634000000000001,48,1924.0
2024-07-13,TzM,0.01895,48,1909.25
2024-07-14,Oran,0.9799,48,1968.25
2024-07-14,TzM,0.02255,48,1953.5
2024-07-15,Oran,0.9251,48,1983.0
2024-07-15,TzM,0.0203,48,1983.0
2024-07-16,Oran,0.8595,48,1983.0
2024-07-16,TzM,0.0249,48,1983.0
2024-07-17,Oran,0.6156,48,1938.75
2024-07-17,TzM,0.0174,48,1968.25
2024-07-18,Oran,0.6799000000000001,48,1835.5
2024-07-18,TzM,0.02945,48,1835.5
2024-07-19,Oran,0.77925,48,1909.25
2024-07-19,TzM,0.03095,48,1983.0
2024-07-20,Oran,0.6485500000000001,48,1909.25
2024-07-20,TzM,0.02865,48,1894.5
2024-07-21,Oran,0.6567000000000001,48,1983.0
2024-07-21,TzM,0.02405,48,1983.0
2024-07-22,Oran,0.44495,48,1983.0
2024-07-22,TzM,0.02415,48,1983.0
2024-07-23,Oran,0.53505,48,1983.0
2024-07-23,TzM,0.031,48,1983.0
2024-07-24,Oran,0.5866,48,1983.0
2024-07-24,TzM,0.0358,48,1983.0
2024-07-25,Oran,0.5301,48,1983.0
2024-07-25,TzM,0.0331,48,1968.25
2024-07-26,Oran,0.31365,48,1924.0
2024-07-26,TzM,0.0232,48,1983.0
2024-07-27,Oran,0.3738,48,1983.0
2024-07-27,TzM,0.02965,48,1983.0
2024-07-28,Oran,0.32365,48,1938.75
2024-07-28,TzM,0.0213,48,1924.0
2024-07-29,Oran,0.272,48,1820.75
2024-07-29,TzM,0.02435,48,1702.75
2024-07-30,Oran,0.2901,48,1806.0
2024-07-30,TzM,0.02685,48,1776.5
2024-07-31,Oran,0.41575,48,1983.0
2024-07-31,TzM,0.03415,48,1983.0
2024-08-01,Oran,0.42265,48,1983.0
2024-08-01,TzM,0.03535,48,1983.0
2024-08-02,Oran,0.32795,48,1983.0
2024-08-02,TzM,0.0276,48,1983.0
2024-08-03,Oran,0.2978,48,1983.0
2024-08-03,TzM,0.0288,48,1968.25
2024-08-04,Oran,0.31,48,1938.75
2024-08-04,TzM,0.03095,48,1968.25
2024-08-05,Oran,0.2015,48,1953.5
2024-08-05,TzM,0.03545,48,1938.75
2024-08-06,Oran,0.1807,48,1968.25
2024-08-06,TzM,0.0349,48,1983.0
2024-08-07,Oran,0.1862,48,1879.75
2024-08-07,TzM,0.03395,48,1968.25
2024-08-08,Oran,0.23805,48,1983.0
2024-08-08,TzM,0.0288,48,1983.0
2024-08-09,Oran,0.22965,48,1983.0
2024-08-09,TzM,0.02905,48,1983.0
2024-08-10,Oran,0.1993,48,1983.0
2024-08-10,TzM,0.0257,48,1983.0
2024-08-11,Oran,0.1915,48,1983.0
2024-08-11,TzM,0.02415,48,1983.0
2024-08-12,Oran,0.2873,48,1953.5
2024-08-12,TzM,0.03075,48,1924.0
2024-08-13,Oran,0.2511,48,1820.75
2024-08-13,TzM,0.0262,48,1761.75
2024-08-14,Oran,0.164,48,1791.25
2024-08-14,TzM,0.01385,48,1761.75
2024-08-15,Oran,0.19555,48,1953.5
2024-08-15,TzM,0.02025,48,1953.5
2024-08-16,Oran,0.2241,48,1983.0
2024-08-16,TzM,0.0213,48,1968.25
2024-08-17,Oran,0.1541,39,1964.8461538461536
2024-08-17,TzM,0.01495,39,1964.8461538461536
2024-08-18,Oran,0.2408,48,1894.5
2024-08-18,TzM,0.02405,48,1879.75
2024-08-19,Oran,0.187,48,1983.0
2024-08-19,TzM,0.0254,48,1983.0
2024-08-20,Oran,0.2004,47,1832.36170212766
2024-08-20,TzM,0.027,47,1937.8085106382975
2024-08-21,Oran,0.10235,48,1688.0
2024-08-21,TzM,0.0183,48,1776.5
2024-08-22,Oran,0.1554,48,1584.75
2024-08-22,TzM,0.0265,48,1717.5
2024-08-23,Oran,2.0834,48,1761.75
2024-08-23,TzM,1.6005,48,1717.5
2024-08-24,Oran,0.55515,48,1968.25
2024-08-24,TzM,0.0621,48,1953.5
2024-08-25,Oran,0.2836,48,1835.5
2024-08-25,TzM,0.0134,48,1791.25
2024-08-26,Oran,0.4638,48,1879.75
2024-08-26,TzM,0.14365,48,1806.0
2024-08-27,Oran,0.383,48,1865.0
2024-08-27,TzM,0.02805,48,1894.5
2024-08-28,Oran,0.32435,48,1968.25
2024-08-28,TzM,0.0208,48,1924.0
2024-08-29,Oran,0.2225,48,1702.75
2024-08-29,TzM,0.0164,48,1702.75
2024-08-30,Oran,0.179,47,1621.468085106383
2024-08-30,TzM,0.0123,47,1681.723404255319
2024-08-31,Oran,0.2628,48,1747.0
2024-08-31,TzM,0.0187,48,1629.0
2024-09-01,Oran,0.32595,48,1850.25
2024-09-01,TzM,0.14395,48,1702.75
2024-09-02,Oran,0.2304,48,1776.5
2024-09-02,TzM,0.0162,48,1673.25
2024-09-03,Oran,1.2366,48,1732.25
2024-09-03,TzM,2.1758,48,1806.0
2024-09-04,Oran,2.161,48,1835.5
2024-09-04,TzM,1.6582,48,1865.0
2024-09-05,Oran,1.3487,48,1835.5
2024-09-05,TzM,1.543,48,1673.25
2024-09-06,Oran,1.48075,48,1953.5
2024-09-06,TzM,1.1744,48,1968.25
2024-09-07,Oran,1.3509,48,1776.5
2024-09-07,TzM,0.8611000000000001,48,1791.25
2024-09-08,Oran,1.5525,48,1776.5
2024-09-08,TzM,0.4877,48,1806.0
2024-09-09,Oran,2.2199,48,1983.0
2024-09-09,TzM,0.5189,48,1983.0
2024-09-10,Oran,1.9465,48,1983.0
2024-09-10,TzM,0.3621,48,1983.0
2024-09-11,Oran,1.3160500000000002,48,1894.5
2024-09-11,TzM,0.2334,48,1835.5
2024-09-12,Oran,1.13605,48,1865.0
2024-09-12,TzM,0.1816,48,1909.25
2024-09-13,Oran,0.54495,48,1953.5
2024-09-13,TzM,0.16485,48,1968.25
2024-09-14,Oran,0.55045,48,1835.5
2024-09-14,TzM,0.0791,48,1850.25
2024-09-15,Oran,0.91955,48,1983.0
2024-09-15,TzM,0.11895,48,1983.0
2024-09-16,Oran,0.8611500000000001,48,1894.5
2024-09-16,TzM,0.12395,48,1894.5
2024-09-17,Oran,0.39245,48,1968.25
2024-09-17,TzM,0.07835,48,1968.25
2024-09-18,Oran,0.31645,48,1761.75
2024-09-18,TzM,0.05335,48,1747.0
2024-09-19,Oran,0.1458,48,1673.25
2024-09-19,TzM,0.07255,48,1658.5
2024-09-20,Oran,1.00405,48,1614.25
2024-09-20,TzM,1.1951,48,1614.25
2024-09-21,Oran,0.5951000000000001,48,1688.0
2024-09-21,TzM,0.8433,48,1570.0
2024-09-22,Oran,1.7181000000000002,48,1791.25
2024-09-22,TzM,1.9808,48,1806.0
2024-09-23,Oran,1.8428,48,1953.5
2024-09-23,TzM,1.9601,48,1924.0
2024-09-24,Oran,1.18355,48,1791.25
2024-09-24,TzM,1.48095,48,1850.25
2024-09-25,Oran,1.2482,48,1658.5
2024-09-25,TzM,1.11425,48,1643.75
2024-09-26,Oran,1.1013,48,1850.25
2024-09-26,TzM,1.0937,48,1879.75
2024-09-27,Oran,1.01545,48,1776.5
2024-09-27,TzM,0.8027000000000001,48,1776.5
2024-09-28,Oran,1.01605,48,1968.25
2024-09-28,TzM,0.9572,48,1968.25
2024-09-29,Oran,0.6075,48,1983.0
2024-09-29,TzM,0.83665,48,1983.0
2024-09-30,Oran,0.7384000000000001,48,1983.0
2024-09-30,TzM,0.79025,48,1983.0
2024-10-01,Oran,0.69365,47,1983.0
2024-10-01,TzM,0.614,47,1983.0
2024-10-02,Oran,0.3899,48,1732.25
2024-10-02,TzM,0.4795,48,1673.25
2024-10-03,Oran,0.31795,48,1909.25
2024-10-03,TzM,0.44615,48,1894.5
2024-10-04,Oran,0.4798,48,1879.75
2024-10-04,TzM,0.42715,48,1865.0
2024-10-05,Oran,0.42845,48,1953.5
2024-10-05,TzM,0.4099,48,1924.0
2024-10-06,Oran,0.4573,48,1717.5
2024-10-06,TzM,0.39775,48,1761.75
2024-10-07,Oran,0.24125,48,1555.25
2024-10-07,TzM,0.22945,48,1614.25
2024-10-08,Oran,1.1215000000000002,48,1717.5
2024-10-08,TzM,0.91505,48,1806.0
2024-10-09,Oran,0.5609500000000001,48,1525.75
2024-10-09,TzM,0.5945,48,1643.75
2024-10-10,Oran,0.8267,48,1850.25
2024-10-10,TzM,0.6061,48,1894.5
2024-10-11,Oran,0.8338,48,1835.5
2024-10-11,TzM,0.75385,48,1820.75
2024-10-12,Oran,0.60285,48,1570.0
2024-10-12,TzM,0.4487,48,1584.75
2024-10-13,Oran,0.7563500000000001,48,1688.0
2024-10-13,TzM,1.27505,48,1688.0
